period,subba,subba-name,parent,parent-name,timezone,value,value-units
2024-12-22,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,129190,megawatthours
2024-12-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,123004,megawatthours
2024-12-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,122564,megawatthours
2024-12-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,122146,megawatthours
2024-12-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,123004,megawatthours
2024-12-21,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,123464,megawatthours
2024-12-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,124015,megawatthours
2024-12-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,123844,megawatthours
2024-12-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,123677,megawatthours
2024-12-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,124015,megawatthours
2024-12-20,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,124173,megawatthours
2024-12-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,114378,megawatthours
2024-12-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,114077,megawatthours
2024-12-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,113752,megawatthours
2024-12-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,114378,megawatthours
2024-12-19,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,114651,megawatthours
2024-12-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,111141,megawatthours
2024-12-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,111166,megawatthours
2024-12-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,111184,megawatthours
2024-12-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,111141,megawatthours
2024-12-18,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,111118,megawatthours
2024-12-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,110825,megawatthours
2024-12-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,110808,megawatthours
2024-12-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,110816,megawatthours
2024-12-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,110825,megawatthours
2024-12-17,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,110863,megawatthours
2024-12-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,118691,megawatthours
2024-12-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,118902,megawatthours
2024-12-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,119109,megawatthours
2024-12-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,118691,megawatthours
2024-12-16,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,118469,megawatthours
2024-12-15,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,116488,megawatthours
2024-12-15,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,116900,megawatthours
2024-12-15,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,117295,megawatthours
2024-12-15,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,116488,megawatthours
2024-12-15,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,116090,megawatthours
2024-12-14,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,117426,megawatthours
2024-12-14,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,117485,megawatthours
2024-12-14,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,117570,megawatthours
2024-12-14,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,117426,megawatthours
2024-12-14,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,117356,megawatthours
2024-12-13,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,123360,megawatthours
2024-12-13,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,123259,megawatthours
2024-12-13,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,123134,megawatthours
2024-12-13,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,123360,megawatthours
2024-12-13,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,123454,megawatthours
2024-12-12,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,118316,megawatthours
2024-12-12,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,117798,megawatthours
2024-12-12,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,117253,megawatthours
2024-12-12,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,118316,megawatthours
2024-12-12,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,118809,megawatthours
2024-12-11,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,112482,megawatthours
2024-12-11,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,112329,megawatthours
2024-12-11,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,112229,megawatthours
2024-12-11,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,112482,megawatthours
2024-12-11,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,112681,megawatthours
2024-12-10,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,114237,megawatthours
2024-12-10,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Central,114312,megawatthours
2024-12-10,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Eastern,114372,megawatthours
2024-12-10,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Mountain,114237,megawatthours
2024-12-10,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Pacific,114155,megawatthours
2024-12-09,PS,Public Service Electric & Gas zone,PJM,"PJM Interconnection, LLC",Arizona,116374,megawatthours
